valence,arousal
0.171,0.203
0.208,0.223
0.184,0.191
0.199,0.210
0.249,0.254
0.233,0.225
0.220,0.291
0.237,0.289
0.191,0.262
0.186,0.266
0.203,0.283
0.180,0.270
0.137,0.257
0.161,0.281
0.113,0.268
0.132,0.266
0.149,0.297
0.172,0.317
0.187,0.269
0.195,0.276
0.159,0.241
0.157,0.250
0.145,0.239
0.128,0.228
0.170,0.288
0.188,0.297
0.170,0.288
0.148,0.251
0.141,0.259
0.154,0.257
0.226,0.319
0.196,0.312
0.184,0.316
0.196,0.322
0.223,0.357
0.218,0.347
0.108,0.352
0.079,0.334
0.048,0.351
0.058,0.334
0.119,0.402
0.078,0.353
0.051,0.361
0.028,0.329
0.038,0.363
0.046,0.338
0.090,0.379
0.031,0.348
0.062,0.340
0.058,0.328
0.078,0.356
0.078,0.343
0.085,0.390
0.085,0.334
0.038,0.294
0.016,0.272
0.064,0.312
0.040,0.282
0.054,0.336
0.028,0.283
0.031,0.258
-0.072,0.232
-0.055,0.262
-0.068,0.244
-0.053,0.263
-0.124,0.218
-0.087,0.202
-0.165,0.180
-0.140,0.197
-0.146,0.210
-0.056,0.251
-0.143,0.207
-0.114,0.217
-0.098,0.271
-0.133,0.259
-0.080,0.252
0.019,0.301
-0.065,0.297
-0.046,0.268
-0.020,0.301
-0.006,0.301
-0.039,0.323
0.062,0.406
0.068,0.360
-0.016,0.306
0.086,0.364
0.076,0.365
0.063,0.369
0.133,0.453
0.113,0.443
0.031,0.379
0.086,0.379
0.063,0.383
0.068,0.391
0.113,0.417
0.067,0.414
0.031,0.378
-0.010,0.300
-0.053,0.314
-0.024,0.327
0.042,0.367
0.037,0.379
0.001,0.326
0.003,0.296
0.016,0.289
0.001,0.298
0.020,0.344
0.045,0.353
-0.016,0.322
0.028,0.295
0.040,0.320
0.055,0.340
-0.003,0.341
0.081,0.393
0.062,0.355
0.091,0.362
0.085,0.366
0.167,0.401
0.176,0.421
0.145,0.430
0.123,0.411
0.087,0.395
0.076,0.400
0.175,0.438
0.181,0.430
0.142,0.442
0.149,0.422
0.108,0.378
0.097,0.375
0.127,0.404
0.114,0.408
0.131,0.420
0.138,0.400
0.086,0.349
0.058,0.343
0.108,0.377
0.048,0.355
0.015,0.341
0.043,0.323
-0.068,0.280
-0.050,0.297
-0.069,0.294
-0.027,0.299
-0.029,0.274
-0.026,0.282
-0.047,0.271
-0.050,0.257
-0.025,0.314
0.008,0.303
0.025,0.315
0.057,0.346
0.092,0.324
0.149,0.366
0.136,0.401
0.120,0.394
0.048,0.384
0.089,0.400
0.143,0.408
0.129,0.422
0.069,0.393
0.109,0.387
0.050,0.362
0.097,0.392
0.086,0.369
0.102,0.380
0.072,0.380
0.071,0.385
0.022,0.366
0.045,0.350
0.089,0.375
0.088,0.383
0.030,0.377
0.018,0.385
0.016,0.387
0.056,0.400
0.069,0.406
0.099,0.442
0.035,0.434
0.034,0.417
0.004,0.412
0.107,0.454
0.166,0.497
0.129,0.511
0.135,0.472
0.078,0.502
0.074,0.434
0.127,0.479
0.182,0.516
0.143,0.544
0.193,0.512
0.163,0.517
0.151,0.441
0.146,0.453
0.169,0.483
0.164,0.484
0.209,0.483
0.168,0.489
0.152,0.475
0.138,0.469
0.167,0.466
0.190,0.482
0.234,0.516
0.170,0.515
0.193,0.501
0.205,0.480
0.285,0.510
0.309,0.544
0.275,0.514
0.233,0.516
0.263,0.527
0.310,0.518
0.253,0.533
0.329,0.580
0.313,0.560
0.295,0.576
0.302,0.582
0.277,0.589
0.309,0.610
0.332,0.602
0.345,0.601
0.279,0.613
0.185,0.581
0.194,0.555
0.210,0.600
0.313,0.603
0.289,0.623
0.219,0.604
0.221,0.575
0.151,0.549
0.115,0.521
0.105,0.524
0.140,0.512
0.106,0.510
0.128,0.514
0.129,0.520
0.023,0.499
0.160,0.508
0.152,0.521
0.150,0.511
0.110,0.517
0.034,0.496
0.088,0.505
0.185,0.546
